DATE_INSERTED,ONSALEFROM,ONSALETO,SUPPLIER,PARTNERID,SUPPLIERTARIFFCODE,TARIFFNAME,FIXEDRATEPERIOD,TEST,MIN_CONSUMPTION,MAX_CONSUMPTION,FUELTYPE,PRODUCTTYPE,PROFILECLASS,AMR,Renewable Energy,RENEWABLE_ACQUISITION,COTTARIFF,ISUPLIFTALLOWED,ISFITSINCLUDED,DELPHISTART,DELPHIEND,TARIFFID,DNO_EXITZONE,MTC,LLFC,FIRST_SSD,LAST_SSD,Description of % adjustment column,% adjustment column,Description of £s adjustment column,£s adjustment column,STARTDATE,ENDDATE,PAYMENTTYPE,CURRENCY,Rate1_A_Start,Rate1_A_PER_kWh,Rate1_B_Start,Rate1_B_PER_kWh,Rate1_C_Start,Rate1_C_PER_kWh,Rate1_D_Start,Rate1_D_PER_kWh,Rate2_A_Start,Rate2_A_PER_kWh,Rate2_B_Start,Rate2_B_PER_kWh,Rate2_C_Start,Rate2_C_PER_kWh,Rate2_D_Start,Rate2_D_PER_kWh,Rate3_A_Start,Rate3_A_PER_kWh,Rate3_B_Start,Rate3_B_PER_kWh,Rate3_C_Start,Rate3_C_PER_kWh,Rate3_D_Start,Rate3_D_PER_kWh,Rate4_A_Start,Rate4_A_PER_kWh,Rate4_B_Start,Rate4_B_PER_kWh,Rate4_C_Start,Rate4_C_PER_kWh,Rate4_D_Start,Rate4_D_PER_kWh,Rate5_A_Start,Rate5_A_PER_kWh,Rate5_B_Start,Rate5_B_PER_kWh,Rate5_C_Start,Rate5_C_PER_kWh,Rate5_D_Start,Rate5_D_PER_kWh,Rate6_A_Start,Rate6_A_PER_kWh,Rate6_B_Start,Rate6_B_PER_kWh,Rate6_C_Start,Rate6_C_PER_kWh,Rate6_D_Start,Rate6_D_PER_kWh,Rate7_A_Start,Rate7_A_PER_kWh,Rate7_B_Start,Rate7_B_PER_kWh,Rate7_C_Start,Rate7_C_PER_kWh,Rate7_D_Start,Rate7_D_PER_kWh,Rate8_A_Start,Rate8_A_PER_kWh,Rate8_B_Start,Rate8_B_PER_kWh,Rate8_C_Start,Rate8_C_PER_kWh,Rate8_D_Start,Rate8_D_PER_kWh,R9_A_Start,R9_A_PER_kWh,R9_B_Start,R9_B_PER_kWh,R9_C_Start,R9_C_PER_kWh,R9_D_Start,R9_D_PER_kWh,DYLY_STDG_CHRG
15/07/2019 00:00,15/07/2019 00:00,,Corona Energy,,B43661WM3250FA1G0,,60,,250000,293000,Gas,F,Gas,Yes,No,,,Yes,,,,LD,WM3,,,01/11/2019 00:00,01/08/2020 00:00,,,,,01/11/2019 00:00,,1,GBP,,3.1759,,3.3245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05
15/07/2019 00:00,15/07/2019 00:00,,Corona Energy,,B43661WM3250FFA1G0,,60,,250000,293000,Gas,FF,Gas,Yes,No,,,Yes,,,,LD,WM3,,,01/11/2019 00:00,01/08/2020 00:00,,,,,01/11/2019 00:00,,1,GBP,,3.3302,,3.4788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05
15/07/2019 00:00,15/07/2019 00:00,,Corona Energy,,B43661WM3293FA1G0,,60,,293000,343000,Gas,F,Gas,Yes,No,,,Yes,,,,LD,WM3,,,01/11/2019 00:00,01/08/2020 00:00,,,,,01/11/2019 00:00,,1,GBP,,3.605,,3.7319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05
15/07/2019 00:00,15/07/2019 00:00,,Corona Energy,,B43661WM3293FFA1G0,,60,,293000,343000,Gas,FF,Gas,Yes,No,,,Yes,,,,LD,WM3,,,01/11/2019 00:00,01/08/2020 00:00,,,,,01/11/2019 00:00,,1,GBP,,3.8197,,3.9466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05
15/07/2019 00:00,15/07/2019 00:00,,Corona Energy,,B43661WM3343FA1G0,,60,,343000,393000,Gas,F,Gas,Yes,No,,,Yes,,,,LD,WM3,,,01/11/2019 00:00,01/08/2020 00:00,,,,,01/11/2019 00:00,,1,GBP,,3.5963,,3.7059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05
15/07/2019 00:00,15/07/2019 00:00,,Corona Energy,,B43661WM3343FFA1G0,,60,,343000,393000,Gas,FF,Gas,Yes,No,,,Yes,,,,LD,WM3,,,01/11/2019 00:00,01/08/2020 00:00,,,,,01/11/2019 00:00,,1,GBP,,3.8083,,3.9179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05
15/07/2019 00:00,15/07/2019 00:00,,Corona Energy,,B43661WM3393FA1G0,,60,,393000,443000,Gas,F,Gas,Yes,No,,,Yes,,,,LD,WM3,,,01/11/2019 00:00,01/08/2020 00:00,,,,,01/11/2019 00:00,,1,GBP,,3.5915,,3.688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05
15/07/2019 00:00,15/07/2019 00:00,,Corona Energy,,B43661WM3393FFA1G0,,60,,393000,443000,Gas,FF,Gas,Yes,No,,,Yes,,,,LD,WM3,,,01/11/2019 00:00,01/08/2020 00:00,,,,,01/11/2019 00:00,,1,GBP,,3.8017,,3.8982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05
15/07/2019 00:00,15/07/2019 00:00,,Corona Energy,,B43661WM3443FA1G0,,60,,443000,493000,Gas,F,Gas,Yes,No,,,Yes,,,,LD,WM3,,,01/11/2019 00:00,01/08/2020 00:00,,,,,01/11/2019 00:00,,1,GBP,,3.5876,,3.6738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05
15/07/2019 00:00,15/07/2019 00:00,,Corona Energy,,B43661WM3443FFA1G0,,60,,443000,493000,Gas,FF,Gas,Yes,No,,,Yes,,,,LD,WM3,,,01/11/2019 00:00,01/08/2020 00:00,,,,,01/11/2019 00:00,,1,GBP,,3.7965,,3.8827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05
