EXIT ZONE,NETWORK,STANDING CHARGE,UNIT RATE,MIN AQ,MAX AQ,CONTRACT LENGTH,EARLIEST START DATE,MAX START DATE
EM2,East Midlands,0.2,3.238,2000,10000,36,13/03/2018,28/02/2019
EM3,East Midlands,0.2,3.238,2000,10000,36,13/03/2018,28/02/2019
EM4,East Midlands,0.2,3.238,2000,10000,36,13/03/2018,28/02/2019
NE1,North of England,0.21,3.349,2000,10000,36,13/03/2018,28/02/2019
NE2,North of England,0.21,3.349,2000,10000,36,13/03/2018,28/02/2019
NE3,North of England,0.21,3.349,2000,10000,36,13/03/2018,28/02/2019
NO1,North of England,0.21,3.349,2000,10000,36,13/03/2018,28/02/2019
NO2,North of England,0.21,3.349,2000,10000,36,13/03/2018,28/02/2019
NT1,London,0.21,3.386,2000,10000,36,13/03/2018,28/02/2019
NT2,London,0.21,3.386,2000,10000,36,13/03/2018,28/02/2019
NT3,London,0.21,3.386,2000,10000,36,13/03/2018,28/02/2019
NW1,North West,0.2,3.314,2000,10000,36,13/03/2018,28/02/2019
NW2,North West,0.2,3.314,2000,10000,36,13/03/2018,28/02/2019
SC1,Scotland,0.21,3.385,2000,10000,36,13/03/2018,28/02/2019
SC2,Scotland,0.21,3.385,2000,10000,36,13/03/2018,28/02/2019
SC4,Scotland,0.21,3.385,2000,10000,36,13/03/2018,28/02/2019
SE1,South of England,0.2,3.316,2000,10000,36,13/03/2018,28/02/2019
SE2,South of England,0.2,3.316,2000,10000,36,13/03/2018,28/02/2019
SO1,South of England,0.21,3.352,2000,10000,36,13/03/2018,28/02/2019
SO2,South of England,0.21,3.352,2000,10000,36,13/03/2018,28/02/2019
SW1,South West,0.21,3.459,2000,10000,36,13/03/2018,28/02/2019
SW2,South West,0.21,3.459,2000,10000,36,13/03/2018,28/02/2019
SW3,South West,0.21,3.459,2000,10000,36,13/03/2018,28/02/2019
WM1,West Midlands,0.2,3.277,2000,10000,36,13/03/2018,28/02/2019
WM2,West Midlands,0.2,3.277,2000,10000,36,13/03/2018,28/02/2019
WM3,West Midlands,0.2,3.277,2000,10000,36,13/03/2018,28/02/2019
WA1,Wales North,0.21,3.386,2000,10000,36,13/03/2018,28/02/2019
WA2,Wales South,0.2,3.313,2000,10000,36,13/03/2018,28/02/2019
EA1,East of England,0.2,3.284,2000,10000,48,13/03/2018,28/02/2019
EA2,East of England,0.2,3.284,2000,10000,48,13/03/2018,28/02/2019
EA3,East of England,0.2,3.284,2000,10000,48,13/03/2018,28/02/2019
EA4,East of England,0.2,3.284,2000,10000,48,13/03/2018,28/02/2019
EM1,East Midlands,0.2,3.284,2000,10000,48,13/03/2018,28/02/2019
EM2,East Midlands,0.2,3.284,2000,10000,48,13/03/2018,28/02/2019
EM3,East Midlands,0.2,3.284,2000,10000,48,13/03/2018,28/02/2019
EM4,East Midlands,0.2,3.284,2000,10000,48,13/03/2018,28/02/2019
NE1,North of England,0.21,3.395,2000,10000,48,13/03/2018,28/02/2019
NE2,North of England,0.21,3.395,2000,10000,48,13/03/2018,28/02/2019
NE3,North of England,0.21,3.395,2000,10000,48,13/03/2018,28/02/2019
NO1,North of England,0.21,3.395,2000,10000,48,13/03/2018,28/02/2019
NO2,North of England,0.21,3.395,2000,10000,48,13/03/2018,28/02/2019
NT1,London,0.21,3.468,2000,10000,48,13/03/2018,28/02/2019
NT2,London,0.21,3.468,2000,10000,48,13/03/2018,28/02/2019
NT3,London,0.21,3.468,2000,10000,48,13/03/2018,28/02/2019
NW1,North West,0.21,3.396,2000,10000,48,13/03/2018,28/02/2019
NW2,North West,0.21,3.396,2000,10000,48,13/03/2018,28/02/2019
SC1,Scotland,0.21,3.431,2000,10000,48,13/03/2018,28/02/2019
SC2,Scotland,0.21,3.431,2000,10000,48,13/03/2018,28/02/2019
SC4,Scotland,0.21,3.431,2000,10000,48,13/03/2018,28/02/2019
SE1,South of England,0.21,3.363,2000,10000,48,13/03/2018,28/02/2019
SE2,South of England,0.21,3.363,2000,10000,48,13/03/2018,28/02/2019
SO1,South of England,0.21,3.399,2000,10000,48,13/03/2018,28/02/2019
SO2,South of England,0.21,3.399,2000,10000,48,13/03/2018,28/02/2019
SW1,South West,0.21,3.505,2000,10000,48,13/03/2018,28/02/2019
SW2,South West,0.21,3.505,2000,10000,48,13/03/2018,28/02/2019
